image_id,image_counter,caption
n01518878_10042,1,"A brown and tan ostridge walking near a metal building,"
n01518878_10042,2,"Brown feathered ostrich with white head and neck facing to the left, standing near a metal or aluminum type fencing."
n01518878_10042,3,An ostrich with ruffled feathers looks in the direction of a green building.
n01518878_10042,4,A brown ostrich is looking the direction of a green wall.
n01518878_10042,5,a ostrich standing near a fence and looking at something
n01518878_12028,1,The head of an ostridge looking over a metal fence.
n01518878_12028,2,An emu or ostrich with an un-amused expression is looking in the direction of the camera.
n01518878_12028,3,An ostrich with fuzzy hair on its head looks over a wire fence.
n01518878_12028,4,A serious looking ostrich peers out over a wire fence.
n01518878_12028,5,A close up image of a disappointed looking ostrich.
n01518878_14075,1,A brown ostridge with its beak open walking in a field of dead grass.
n01518878_14075,2,A large bird holds its beak open and stands in some brown grass.
n01518878_14075,3,"An ostrich with its beak open walks through long, dry grasses."
n01518878_14075,4,An ostrich standing in the middle of a brown grass with its mouth open.
n01518878_14075,5,Flightless large bird walking in field with lots of plumage.
n01518878_14910,1,An ostrich walks across a dirt road towards grass.
n01518878_14910,2,An ostrich that is walking across a dirt road.
n01518878_14910,3,A black and white ostridge walking on a gravel road surrounded by grass.
n01518878_14910,4,An ostrich stands on a dirt road at the edge of the grass and looks around.
n01518878_14910,5,An ostrich standing at the edge of a dirt road.
n01518878_5958,1,An ostrich standing in a field with trees behind it.
n01518878_5958,2,An ostrich that is walking around in a dry field.
n01518878_5958,3,An emu with jet black feathers stands in a plain of dry grass.
n01518878_5958,4,A black ostridge with a white neck and head standing in an area of dead grass.
n01518878_5958,5,An ostrich stands in thick grass and looks around with its neck extended.
n01518878_7346,1,A brown and white ostridge standing in grass beside gravel.
n01518878_7346,2,An ostrich with its neck bent downward casts a shadow on the rocks it's standing on.
n01518878_7346,3,An ostrich that is walking around outdoors in a pen.
n01518878_7346,4,"Ostrich with brown and tan feathers and a white head neck and legs standing in some sparse grass, holding his head down at body level."
n01518878_7346,5,"An emu or an ostrich, on a ranch with buildings."
n01518878_7579,1,Two large black and gray ostridges standing in a barren area.
n01518878_7579,2,Two ostriches standing beside one another in the desert.
n01518878_7579,3,Two ostriches stand near each other in grass and dirt.
n01518878_7579,4,A pair of ostriches that are walking through a field.
n01518878_7579,5,Two ostriches are seen here in the wild.
n01518878_8432,1,Large flightless bird with well muscled legs and plumage stands in field.
n01518878_8432,2,"An ostrich walks along with it's feathers lifted, showing a bare thigh."
n01518878_8432,3,An ostrich that is running through a field.
n01518878_8432,4,A ostrich stands in a green field on a cloudy day.
n01518878_8432,5,A large ostrich with black feathers raises its head and looks forward.
n01639765_22407,1,A brown toad with blackspots and large brown eyes.
n01639765_22407,2,a small brown and black dotted frog sitting on the grass ground
n01639765_22407,3,A small frog that is hiding in some grass.
n01639765_22407,4,A brown toad with black spots is sitting in the grass.
n01639765_22407,5,A small spotted frog sits in the gross and looks in front of itself.
n01639765_32862,1,A small brown frog that someone is holding in their hands.
n01639765_32862,2,A small green frog sitting in someones hand.
n01639765_32862,3,A very small frog is on somebodys hand.
n01639765_32862,4,A very tiny frog climbs on someone's hand.
n01639765_32862,5,Tiny brown speckled frog or toad resting on someones hand or finger looking upwards.
n01639765_37122,1,A yellow frog with black spots sitting on a green leaf.
n01639765_37122,2,A small yellow and black frog sits on a leaf looking up at another large leaf near a frosted glass window.
n01639765_37122,3,A small orange and black spotted frog sitting on a leaf.
n01639765_37122,4,A small yellow and black frog sits on a large leaf and looks up.
n01639765_37122,5,A yellow frog with back spots sitting on a green leaf.
n01639765_40261,1,A green and brown toad sitting atop of a green plant.
n01639765_40261,2,A small frog sits on top of some tall grass.
n01639765_40261,3,A brown and grey frog that is resting in some grass.
n01639765_40261,4,A frog is sitting on the leaves of a light green plant.
n01639765_40261,5,Small dark amphibian creature stands on plant in garden.
n01639765_44823,1,A green frog sitting on a leaf that is partially submurged in water.
n01639765_44823,2,A small green frog sits on a leaf partially submerged in water.
n01639765_44823,3,A green frog sitting on a green leaf that is partially submerged in the water.
n01639765_44823,4,A frog that is standing in some shallow water.
n01639765_44823,5,A green frog sitting on top of a leaf.
n01639765_47681,1,A mottled brown and tan toad sits in the dirt under a rock.
n01639765_47681,2,a large brown and green toad frog sitting in the dirt
n01639765_47681,3,A brown frog that is living under some rocks.
n01639765_47681,4,A brown and tan toad nestled inside a log.
n01639765_47681,5,A fat brown toad sitting in dirt under a rock.
n01639765_48759,1,A green frog with big orange eyes is sitting on a leaf.
n01639765_48759,2,A small green frog with bright orange eyes sits on a green leaf.
n01639765_48759,3,A tree frog sitting on a leaf with a front arm dangling down
n01639765_48759,4,A green tree frog with large orange eyes precariously balanced on a fern leaf.
n01639765_48759,5,Small green frog with yellow underneath and orange and black eyes lying a green fern type leaf.
n01639765_52902,1,A light green tree frog sitting on a white ledge.
n01639765_52902,2,A green frog with big eyes and white spots on its body.
n01639765_52902,3,A green frog sits on a wooden post at night.
n01639765_52902,4,A bright green frog with long toes sitting in the darkness.
n01639765_52902,5,A green frog with white spots on its back sits on the edge of a wooden ledge.
n01645776_10130,1,A dark green frog resting on a log.
n01645776_10130,2,A gray toad with large green eyes is sitting on a piece of wood.
n01645776_10130,3,Large toad with green eyes resting on wood stump.
n01645776_10130,4,a creature with round face and short hand like  crocodile
n01645776_10130,5,Small reptile animal is crawling slowly in a tree.
n01645776_10758,1,A tan toad with brown spots is sitting on bare dirt.
n01645776_10758,2,A brown toad is standing in the dirt with his eyes open.
n01645776_10758,3,A brown and white frogs sits on the ground.
n01645776_10758,4,A large brown frog that is sitting out in some dirt.
n01645776_10758,5,A frog with dark markings on it back sits on some brown dirt.
n01645776_8522,1,A large toad sitting in shallow water with his throat expanded.
n01645776_8522,2,A frog sits partially submerged in some muddy water with the air sac under its chin enlarged.
n01645776_8522,3,A frog with a inflated bubble neck standing in water.
n01645776_8522,4,A brown frog is standing in murky water.
n01645776_8522,5,A bullfrog with it's neck extended stands in shallow water.
n01645776_8879,1,A rough looking toad sits back on some moss-covered stones.
n01645776_8879,2,"A gray toad sits on a rock, with moss."
n01645776_8879,3,A frog sits very still against a mossy surface.
n01645776_8879,4,A gray and tan toad sitting on a mossy rock.
n01645776_8879,5,A dark grey frog that is resting on some rocks.
n01645776_9361,1,A small brown frog with intricate designs on it sits on a large gray rock.
n01645776_9361,2,A brown frog with a white spotted belly sits on a rock in the dark.
n01645776_9361,3,A brown and white toad sitting on a large rock.
n01645776_9361,4,A brown yellowish frog sitting on a rock.
n01645776_9361,5,A brown frog sits on a rock in the forest.
n01645776_9576,1,Dark colored toad sits on rock bathing in sunshine.
n01645776_9576,2,A small frog that is resting on top of a rock.
n01645776_9576,3,A brown toad stretched out on top of a rock.
n01645776_9576,4,A toad with bumps on its body drapes its front legs over the side of a rock.
n01645776_9576,5,A Lazy Toad with bumps all over his body lays on a rock enjoying the Sun.
n01645776_9693,1,A large brown toad is sitting on a bright green leaf.
n01645776_9693,2,A large wet frog resting on some sort of vegetation.
n01645776_9693,3,A brown toad lies with its eyes closed on a green leaf.
n01645776_9693,4,a large green and brown toad frog sitting on a green leaf
n01645776_9693,5,A large brown toad is sitting on a green leaf.
n01645776_9743,1,A little green and black tree frog on a leaf.
n01645776_9743,2,A green frog with black spots sitting on a brown leaf.
